ticker,weight
AMX,-0.0182056059537787
AN,-0.00922108212450189
AUO,-0.00530608961251455
BA,-0.0208356603980653
BBRY,-0.0158334429610488
BAC,0.0253549049567706
CBOE,0.0486284596572387
CFG,0.0246707660264992
CDK,0.0796159685184395
CME,0.025269308261904
AENA,-0.0104369192259341
AAL,-0.00542993545682937
ADS,0.0309530588660675
AAP,0.0463305083612518
CRUS,-0.0213038793910906
CRM,0.0646340634166242
DAL,-0.00863214538014408
EXR,-0.0195585563164421
FDX,-0.00981096282359444
FB,0.0269121667381562
FLEX,0.0261001809099331
GD,0.0260585482540882
FR,-0.0106647361807543
HII,0.0267247489989822
HRS,0.0796717499771511
IFF,-0.0225184961711635
HUBB,0.0243436029483476
IWM,-0.0137339675537831
INTC,-0.0209245487289816
LB,-0.0136714463904353
LSI,-0.0218406111185565
LMT,-0.0205228460985188
LYB,-0.00982039475509013
LW,0.110792344962154
MA,0.0300559726275154
MMM,-0.0219492503429777
O2D,-0.0126419314319707
NOW,0.0501681343457035
OMC,-0.0203785972658996
OKE,-0.0270173785600058
QQQ,-0.011330453715559
RTN,0.0521869736788506
SBUX,-0.0228984809601455
SNA,-0.019885371225984
SLB,0.0449355256220965
SPY,0.0015
T,-0.0151833637692945
TTWO,0.0819276866320858
UPS,-0.0223906646618797
ULTI,-0.0184252655681385
VIX,-0.00299495333298876
WBT,0.0479660068608674
VMC,0.0292126928660451
ZNGA,-0.0176755743561085
WDAY,-0.0252081575430985
